order_id,user_id,weight_kg,distance_km,express_flag,quantity,price,shipping_cost,price_per_item,weight_per_item,shipping_per_km,shipping_price_ratio,heavy_package,long_distance,bulk_order
0,4647,1.23,303.0,False,3,3823.0,222.0,1274.3333333333333,0.41,0.7326732673267327,5.806957886476589,0,1,0
1,3774,1.54,68.0,False,1,3539.0,119.0,3539.0,1.54,1.75,3.3625317886408586,0,0,0
2,2876,2.27,216.0,False,3,18507.0,171.0,6169.0,0.7566666666666667,0.7916666666666666,0.9239747122710326,0,1,0
3,3155,5.26,354.0,False,5,5797.0,218.0,1159.4,1.052,0.615819209039548,3.7605658099016734,1,1,1
4,2066,3.57,92.0,True,2,1004.0,203.0,502.0,1.785,2.2065217391304346,20.219123505976093,0,0,0
5,4525,0.88,133.0,False,1,2377.0,117.0,2377.0,0.88,0.8796992481203008,4.9221708035338665,0,0,0
6,781,8.17,78.0,False,1,4344.0,59.0,4344.0,8.17,0.7564102564102564,1.358195211786372,1,0,0
7,1569,8.59,94.0,True,3,3800.0,196.0,1266.6666666666667,2.8633333333333333,2.0851063829787235,5.157894736842105,1,0,0
8,1002,6.31,39.0,False,4,1510.0,122.0,377.5,1.5775,3.128205128205128,8.079470198675496,1,0,0
9,4240,5.12,81.0,False,2,6602.0,68.0,3301.0,2.56,0.8395061728395061,1.0299909118448956,1,0,0
10,2700,1.67,89.0,False,3,4380.0,100.0,1460.0,0.5566666666666666,1.1235955056179776,2.28310502283105,0,0,0
11,3418,10.74,337.0,False,2,1329.0,214.0,664.5,5.37,0.6350148367952523,16.102332580887886,1,1,0
12,4597,3.06,94.0,False,3,4732.0,133.0,1577.3333333333333,1.02,1.4148936170212767,2.8106508875739644,0,0,0
13,977,0.32,279.0,False,4,3811.0,160.0,952.75,0.08,0.5734767025089605,4.198373130411966,0,1,0
14,4822,2.14,91.0,False,1,914.0,118.0,914.0,2.14,1.2967032967032968,12.910284463894966,0,0,0
15,632,3.41,132.0,False,3,19036.0,96.0,6345.333333333333,1.1366666666666667,0.7272727272727273,0.5043076276528682,0,0,0
16,3771,4.77,173.0,False,4,5631.0,102.0,1407.75,1.1925,0.5895953757225434,1.8114011720831114,0,0,0
17,3513,4.24,220.0,False,1,5234.0,188.0,5234.0,4.24,0.8545454545454545,3.5918991211310662,0,1,0
18,4127,3.46,49.0,False,3,2994.0,75.0,998.0,1.1533333333333333,1.530612244897959,2.50501002004008,0,0,0
19,792,4.09,89.0,False,2,5683.0,118.0,2841.5,2.045,1.3258426966292134,2.07636811543199,0,0,0
20,4799,4.12,247.0,True,3,772.0,313.0,257.3333333333333,1.3733333333333333,1.2672064777327936,40.5440414507772,0,1,0
21,3971,1.79,111.0,False,2,12584.0,119.0,6292.0,0.895,1.072072072072072,0.945645263827082,0,0,0
22,553,9.89,291.0,False,1,1695.0,198.0,1695.0,9.89,0.6804123711340206,11.68141592920354,1,1,0
23,2785,6.36,142.0,False,4,3589.0,118.0,897.25,1.59,0.8309859154929577,3.2878239063806074,1,0,0
24,4086,2.78,341.0,False,1,2636.0,234.0,2636.0,2.78,0.6862170087976539,8.877086494688923,0,1,0
25,2384,4.86,449.0,False,5,7942.0,314.0,1588.4,0.9720000000000001,0.6993318485523385,3.953664064467389,0,1,1
26,1904,3.8,350.0,False,1,2926.0,223.0,2926.0,3.8,0.6371428571428571,7.621326042378673,0,1,0
27,1377,7.81,168.0,True,2,4759.0,239.0,2379.5,3.905,1.4226190476190477,5.0220634587098125,1,0,0
28,2579,10.89,122.0,False,4,11762.0,126.0,2940.5,2.7225,1.0327868852459017,1.071246386668934,1,0,0
29,4919,2.28,176.0,False,2,4893.0,86.0,2446.5,1.14,0.48863636363636365,1.7576129164111998,0,0,0
30,3037,1.45,74.0,False,5,4169.0,44.0,833.8,0.29,0.5945945945945946,1.0554089709762533,0,0,1
31,3610,7.47,353.0,False,2,5236.0,235.0,2618.0,3.735,0.6657223796033994,4.488158899923605,1,1,0
32,3898,6.63,61.0,True,4,22142.0,193.0,5535.5,1.6575,3.1639344262295084,0.8716466443862344,1,0,0
