order_id,user_id,weight_kg,distance_km,express_flag,quantity,price,shipping_cost
0,4647,1.23,303.0,False,3,3823.0,222.0
1,3774,1.54,68.0,False,1,3539.0,119.0
2,2876,2.27,216.0,False,3,18507.0,171.0
3,3155,5.26,354.0,False,5,5797.0,218.0
4,2066,3.57,92.0,True,2,1004.0,203.0
5,4525,0.88,133.0,False,1,2377.0,117.0
6,781,8.17,78.0,False,1,4344.0,59.0
7,1569,8.59,94.0,True,3,3800.0,196.0
8,1002,6.31,39.0,False,4,1510.0,122.0
9,4240,5.12,81.0,False,2,6602.0,68.0
10,2700,1.67,89.0,False,3,4380.0,100.0
11,3418,10.74,337.0,False,2,1329.0,214.0
12,4597,3.06,94.0,False,3,4732.0,133.0
13,977,0.32,279.0,False,4,3811.0,160.0
14,4822,2.14,91.0,False,1,914.0,118.0
15,632,3.41,132.0,False,3,19036.0,96.0
16,3771,4.77,173.0,False,4,5631.0,102.0
17,3513,4.24,220.0,False,1,5234.0,188.0
18,4127,3.46,49.0,False,3,2994.0,75.0
19,792,4.09,89.0,False,2,5683.0,118.0
20,4799,4.12,247.0,True,3,772.0,313.0
21,3971,1.79,111.0,False,2,12584.0,119.0
22,553,9.89,291.0,False,1,1695.0,198.0
23,2785,6.36,142.0,False,4,3589.0,118.0
24,4086,2.78,341.0,False,1,2636.0,234.0
25,2384,4.86,449.0,False,5,7942.0,314.0
26,1904,3.8,350.0,False,1,2926.0,223.0
27,1377,7.81,168.0,True,2,4759.0,239.0
28,2579,10.89,122.0,False,4,11762.0,126.0
29,4919,2.28,176.0,False,2,4893.0,86.0
30,3037,1.45,74.0,False,5,4169.0,44.0
31,3610,7.47,353.0,False,2,5236.0,235.0
32,3898,6.63,61.0,True,4,22142.0,193.0
33,3890,1.21,167.0,True,4,15779.0,247.0
34,2002,3.55,373.0,False,5,14223.0,275.0
35,3843,4.86,192.0,False,3,7722.0,165.0
36,1640,4.71,98.0,False,1,957.0,113.0
37,2920,0.81,144.0,False,3,8574.0,172.0
38,1512,2.39,143.0,False,2,9497.0,143.0
39,4698,6.73,159.0,True,2,7953.0,215.0
40,3650,3.68,272.0,False,3,9040.0,179.0
41,2919,6.21,235.0,False,4,12175.0,208.0
42,2257,1.43,49.0,True,3,13168.0,133.0
43,2600,0.94,270.0,False,5,6562.0,191.0
44,3899,2.56,103.0,False,4,5184.0,84.0
45,1368,3.19,44.0,False,2,2152.0,68.0
46,4142,5.04,243.0,False,1,5268.0,185.0
47,1408,2.54,204.0,True,1,2446.0,273.0
48,708,3.26,56.0,False,1,506.0,105.0
49,3684,0.81,129.0,False,3,10577.0,81.0
50,3541,1.26,116.0,False,4,14063.0,141.0
51,1673,3.96,93.0,False,3,4342.0,134.0
52,3243,6.22,173.0,False,4,2180.0,141.0
53,3643,6.39,213.0,True,3,7876.0,274.0
54,3939,0.3,198.0,False,2,2090.0,131.0
55,4763,0.99,130.0,False,5,11314.0,71.0
56,4271,3.15,117.0,True,2,3974.0,138.0
57,2196,1.09,408.0,False,4,8286.0,262.0
58,1151,0.99,247.0,False,5,26109.0,201.0
59,486,0.83,73.0,False,3,7062.0,63.0
60,2869,10.5,75.0,True,2,5397.0,220.0
61,3332,0.66,157.0,False,3,2003.0,124.0
62,3454,2.16,155.0,False,2,3530.0,138.0
63,47,3.16,277.0,True,3,7931.0,290.0
64,3506,4.17,178.0,True,1,2477.0,264.0
65,3935,0.47,130.0,False,3,11101.0,128.0
66,3608,6.86,172.0,False,1,2972.0,139.0
67,2628,2.56,196.0,False,2,8485.0,182.0
68,75,1.24,239.0,False,4,6467.0,187.0
69,2448,1.54,143.0,True,5,11075.0,244.0
70,3223,4.47,209.0,False,1,3140.0,170.0
71,2847,6.13,57.0,False,4,8468.0,94.0
72,2872,6.65,129.0,False,1,854.0,142.0
73,2582,5.22,114.0,False,1,2846.0,134.0
74,2760,1.75,164.0,False,5,15741.0,152.0
75,1618,5.17,92.0,False,5,12372.0,101.0
76,3024,1.63,163.0,False,3,10676.0,171.0
77,1407,2.7,173.0,True,2,5849.0,233.0
78,2457,11.12,90.0,False,3,6696.0,98.0
79,2076,3.62,87.0,False,3,1987.0,74.0
80,3571,5.7,104.0,False,2,5311.0,82.0
81,4474,0.43,111.0,False,2,5741.0,88.0
82,3166,3.52,280.0,False,3,3825.0,230.0
83,676,0.32,257.0,True,4,4483.0,315.0
84,3337,2.16,329.0,False,4,8447.0,220.0
85,1623,2.7,167.0,False,1,1350.0,129.0
86,247,2.03,268.0,True,3,3477.0,287.0
87,961,5.06,180.0,True,5,16878.0,240.0
88,4996,2.55,213.0,False,1,1181.0,167.0
89,2135,5.39,533.0,False,1,2370.0,349.0
90,1008,3.26,130.0,False,4,10395.0,122.0
91,667,3.37,77.0,False,1,3771.0,91.0
92,3251,4.35,196.0,False,5,18092.0,160.0
93,3803,3.93,110.0,False,2,4114.0,80.0
94,1765,3.28,110.0,False,5,10383.0,123.0
95,517,4.24,54.0,True,3,4272.0,136.0
96,1773,2.77,137.0,True,1,536.0,161.0
97,3326,6.76,136.0,False,3,17799.0,157.0
98,569,3.76,295.0,True,1,2423.0,287.0
99,1338,4.58,170.0,True,2,5045.0,269.0
100,10,0.5,95.0,False,5,4757.0,118.0
101,2360,0.14,147.0,False,5,13098.0,140.0
102,852,5.46,146.0,False,5,21251.0,167.0
103,999,0.66,185.0,False,3,7429.0,147.0
104,565,6.99,109.0,False,1,2802.0,128.0
105,3651,7.85,99.0,False,2,4793.0,123.0
106,2447,7.09,286.0,False,2,1376.0,234.0
107,4741,4.39,263.0,False,1,286.0,205.0
108,1975,0.39,98.0,True,3,11499.0,228.0
109,1108,0.38,130.0,False,5,12965.0,94.0
110,1020,0.8,142.0,False,4,5345.0,118.0
111,4765,1.7,440.0,False,4,10970.0,315.0
112,2948,6.11,48.0,True,1,4866.0,185.0
113,1626,2.34,154.0,False,1,1513.0,143.0
114,3270,7.27,200.0,True,5,15231.0,227.0
115,2789,1.99,93.0,False,5,26876.0,97.0
116,573,14.93,250.0,False,4,5424.0,181.0
117,3507,8.62,428.0,True,2,5306.0,418.0
118,595,2.2,87.0,False,5,8521.0,108.0
119,996,1.52,386.0,False,1,1445.0,248.0
120,3566,8.7,24.0,False,5,4699.0,83.0
121,2223,1.2,157.0,False,4,8549.0,105.0
122,1110,2.06,236.0,True,3,3875.0,263.0
123,339,1.18,378.0,False,4,18567.0,275.0
124,2968,3.93,147.0,True,2,1819.0,221.0
125,3485,7.61,243.0,False,5,1241.0,222.0
126,1015,2.27,144.0,False,3,5383.0,129.0
127,2083,6.55,234.0,True,5,17364.0,261.0
128,1721,4.15,191.0,True,3,2058.0,222.0
129,4458,1.14,217.0,False,5,25644.0,180.0
130,3954,2.12,122.0,False,1,3375.0,83.0
131,1369,0.75,43.0,False,3,3840.0,53.0
132,2567,10.46,268.0,False,3,5018.0,250.0
133,4618,3.64,164.0,False,1,2397.0,176.0
134,1728,3.21,192.0,False,1,1762.0,178.0
135,705,3.57,266.0,True,3,7692.0,254.0
136,1491,1.48,121.0,True,1,2048.0,206.0
137,3034,2.36,327.0,True,1,1200.0,335.0
138,4961,4.36,98.0,False,2,9285.0,153.0
139,1539,0.56,213.0,False,4,4295.0,168.0
140,292,0.28,130.0,False,2,4044.0,103.0
141,908,1.95,175.0,True,4,2807.0,241.0
142,2062,1.68,77.0,False,5,8034.0,36.0
143,469,7.96,128.0,False,5,7132.0,148.0
144,174,1.48,152.0,False,2,8518.0,105.0
145,3278,4.44,113.0,False,5,7927.0,113.0
146,4121,1.68,130.0,False,1,5432.0,67.0
147,1165,4.24,89.0,False,1,2161.0,73.0
148,2613,3.69,218.0,False,4,7096.0,165.0
149,2864,9.37,321.0,False,2,6939.0,286.0
150,3338,1.35,164.0,False,4,16523.0,122.0
151,4897,1.35,69.0,True,5,8031.0,184.0
152,4426,16.56,45.0,False,1,1575.0,122.0
153,1579,7.42,86.0,False,4,10582.0,124.0
154,4878,2.09,82.0,True,1,791.0,150.0
155,174,1.42,168.0,False,2,7223.0,136.0
156,4809,1.24,224.0,False,4,2495.0,182.0
157,714,7.19,39.0,True,2,7990.0,199.0
158,569,1.8,289.0,False,4,5352.0,194.0
159,596,1.52,106.0,True,5,15598.0,222.0
160,610,1.48,78.0,True,4,8574.0,173.0
161,2316,4.95,79.0,False,5,2818.0,124.0
162,3200,2.63,260.0,True,5,21234.0,295.0
163,3723,7.36,92.0,False,1,2007.0,156.0
164,79,12.0,146.0,False,4,6210.0,141.0
165,1482,3.7,433.0,False,2,5845.0,311.0
166,661,4.0,137.0,False,3,5756.0,129.0
167,729,2.51,153.0,False,5,16753.0,163.0
168,3732,3.57,115.0,True,1,2500.0,196.0
169,3203,0.42,192.0,False,1,2828.0,137.0
170,1049,4.29,192.0,True,4,16808.0,314.0
171,1505,6.25,295.0,True,2,2320.0,318.0
172,4624,1.16,189.0,False,3,4078.0,178.0
173,2875,10.62,306.0,False,4,31730.0,215.0
174,1194,1.99,262.0,True,2,3511.0,300.0
175,4668,8.72,97.0,False,5,9615.0,131.0
176,993,5.29,170.0,False,5,5827.0,144.0
177,1456,1.03,81.0,False,4,12725.0,60.0
178,3463,7.07,214.0,False,1,1570.0,151.0
179,2562,3.24,14.0,False,3,11251.0,41.0
180,346,4.62,470.0,False,5,16479.0,309.0
181,4034,2.57,99.0,True,2,5158.0,183.0
182,1140,2.9,100.0,False,4,6981.0,118.0
183,3458,0.57,184.0,True,5,12374.0,250.0
184,1671,4.89,61.0,False,2,3628.0,115.0
185,3757,3.17,76.0,False,2,6201.0,137.0
186,4490,4.03,145.0,False,5,15170.0,167.0
187,3862,4.72,67.0,False,1,4645.0,82.0
188,4605,4.46,106.0,False,2,6432.0,107.0
189,2699,5.04,27.0,False,1,3149.0,104.0
190,325,0.55,264.0,False,4,13337.0,187.0
191,2680,2.62,372.0,True,1,934.0,340.0
192,2306,1.01,340.0,False,3,6126.0,297.0
193,3594,0.16,142.0,False,5,25796.0,100.0
194,1243,4.56,197.0,False,4,3417.0,165.0
195,3488,11.84,257.0,False,2,2177.0,187.0
196,2208,0.2,74.0,False,1,6944.0,39.0
197,3350,4.91,191.0,True,3,3090.0,213.0
198,2098,2.38,157.0,False,2,725.0,124.0
199,1910,2.92,93.0,False,5,10283.0,74.0
200,1071,4.79,177.0,False,5,8216.0,176.0
201,4142,4.3,58.0,False,2,7214.0,83.0
202,343,2.56,102.0,False,3,730.0,98.0
203,1181,1.99,224.0,False,1,2608.0,146.0
204,2133,4.34,116.0,False,3,7393.0,163.0
205,778,0.29,160.0,False,2,10092.0,160.0
206,4583,4.76,181.0,False,5,6051.0,153.0
207,1725,2.39,193.0,False,1,3796.0,169.0
208,1211,8.15,188.0,False,3,8686.0,132.0
209,1269,3.12,138.0,True,3,8442.0,220.0
210,958,7.86,501.0,False,1,2874.0,360.0
211,3315,1.3,111.0,False,1,4397.0,70.0
212,2406,1.19,382.0,False,3,2285.0,246.0
213,1155,1.63,260.0,False,4,22529.0,190.0
214,4366,9.17,91.0,False,3,6651.0,110.0
215,3282,3.02,132.0,False,5,11611.0,79.0
216,2014,1.92,146.0,False,5,17762.0,187.0
217,2566,4.28,34.0,False,2,6870.0,89.0
218,3281,1.72,105.0,False,2,9986.0,78.0
219,762,4.24,390.0,True,1,1120.0,352.0
220,4041,3.01,119.0,False,3,7434.0,61.0
221,1291,1.86,205.0,False,2,7608.0,182.0
222,147,3.15,182.0,True,1,3051.0,220.0
223,2608,3.15,243.0,False,2,6106.0,202.0
224,4382,5.84,65.0,False,2,5685.0,91.0
225,3665,0.96,191.0,False,2,9729.0,112.0
226,1542,2.14,254.0,False,5,9086.0,191.0
227,1991,3.75,63.0,False,5,22012.0,77.0
228,2979,1.55,134.0,True,5,4150.0,211.0
229,1164,2.72,67.0,False,2,2099.0,103.0
230,4100,1.83,257.0,True,4,13543.0,234.0
231,1475,2.31,104.0,True,4,19153.0,169.0
232,1083,1.2,133.0,False,4,5550.0,72.0
233,475,11.87,144.0,False,1,3537.0,152.0
234,3466,0.32,382.0,False,2,6799.0,233.0
235,125,1.82,72.0,False,3,5746.0,122.0
236,4027,3.11,216.0,False,3,6982.0,169.0
237,4865,3.08,96.0,False,1,3571.0,92.0
238,555,7.26,141.0,False,1,2294.0,173.0
239,482,0.95,71.0,False,1,1375.0,69.0
240,4672,0.59,223.0,False,3,6384.0,181.0
241,624,2.05,92.0,False,4,4088.0,95.0
242,2038,3.11,145.0,True,3,2454.0,197.0
243,4354,2.45,284.0,False,2,4929.0,143.0
244,694,6.2,80.0,False,1,2238.0,103.0
245,3317,1.08,115.0,False,1,1045.0,149.0
246,1913,1.88,307.0,False,3,12195.0,206.0
247,2180,4.71,198.0,False,2,2620.0,184.0
248,4655,3.15,125.0,False,1,742.0,128.0
249,3245,7.37,178.0,False,3,2832.0,152.0
250,1597,3.16,246.0,True,1,2959.0,237.0
251,4674,0.94,285.0,False,3,8578.0,180.0
252,2903,6.74,225.0,False,2,6518.0,189.0
253,496,6.22,139.0,False,1,2425.0,126.0
254,1963,4.23,197.0,True,1,3666.0,230.0
255,1218,13.32,83.0,False,3,11121.0,103.0
256,3212,3.28,125.0,False,4,7641.0,147.0
