user_id,last_order_date,first_order_date,order_count,avg_order_value,avg_review_stars,days_since_last_order,tenure_days,order_velocity,churned
0,,,0,,,,,0.0,0
1,,,0,,,,,0.0,0
2,,,0,,,,,0.0,0
3,,,0,,,,,0.0,0
4,,,0,,,,,0.0,0
5,,,0,,,,,0.0,0
6,,,0,,,,,0.0,0
7,2026-09-14,2026-09-14,1,4480.986295091527,48.0,-53.0,-53.0,0.0,0
8,,,0,,,,,0.0,0
9,,,0,,,,,0.0,0
10,2025-04-10,2025-04-10,1,2100.658268779784,30.0,469.0,469.0,0.0021321961620469083,1
11,2027-07-10,2027-07-10,1,1761.4166433105493,49.0,-352.0,-352.0,0.0,0
12,,,0,,,,,0.0,0
13,2026-01-12,2026-01-12,1,1670.304794135421,34.0,192.0,192.0,0.005208333333333333,1
14,,,0,,,,,0.0,0
15,,,0,,,,,0.0,0
16,,,0,,,,,0.0,0
17,,,0,,,,,0.0,0
18,,,0,,,,,0.0,0
19,,,0,,,,,0.0,0
20,,,0,,,,,0.0,0
21,,,0,,,,,0.0,0
22,2027-05-09,2027-05-09,1,372.8903277988466,40.0,-290.0,-290.0,0.0,0
23,2027-07-11,2027-07-11,1,3620.5823988728616,31.0,-353.0,-353.0,0.0,0
24,,,0,,,,,0.0,0
25,,,0,,,,,0.0,0
26,,,0,,,,,0.0,0
27,2026-01-19,2026-01-19,1,2268.729058463822,29.0,185.0,185.0,0.005405405405405406,1
28,,,0,,,,,0.0,0
29,,,0,,,,,0.0,0
30,,,0,,,,,0.0,0
31,2027-05-01,2027-05-01,1,3351.829153797805,42.0,-282.0,-282.0,0.0,0
32,,,0,,,,,0.0,0
33,2027-09-23,2027-09-23,1,4353.419642762779,11.0,-427.0,-427.0,0.0,0
34,,,0,,,,,0.0,0
35,,,0,,,,,0.0,0
36,,,0,,,,,0.0,0
37,,,0,,,,,0.0,0
38,,,0,,,,,0.0,0
39,,,0,,,,,0.0,0
40,,,0,,,,,0.0,0
41,,,0,,,,,0.0,0
42,,,0,,,,,0.0,0
43,,,0,,,,,0.0,0
44,2027-07-19,2027-07-19,1,2087.3369649340266,39.0,-361.0,-361.0,0.0,0
45,,,0,,,,,0.0,0
46,,,0,,,,,0.0,0
47,2025-03-04,2025-03-04,1,4070.737362717629,18.0,506.0,506.0,0.001976284584980237,1
48,,,0,,,,,0.0,0
49,,,0,,,,,0.0,0
50,,,0,,,,,0.0,0
51,,,0,,,,,0.0,0
52,,,0,,,,,0.0,0
53,,,0,,,,,0.0,0
54,,,0,,,,,0.0,0
55,,,0,,,,,0.0,0
56,,,0,,,,,0.0,0
57,,,0,,,,,0.0,0
58,,,0,,,,,0.0,0
59,,,0,,,,,0.0,0
60,,,0,,,,,0.0,0
61,,,0,,,,,0.0,0
62,,,0,,,,,0.0,0
63,,,0,,,,,0.0,0
64,,,0,,,,,0.0,0
65,,,0,,,,,0.0,0
66,2026-08-15,2026-08-15,1,4059.0008362520975,38.0,-23.0,-23.0,0.0,0
67,,,0,,,,,0.0,0
68,,,0,,,,,0.0,0
69,,,0,,,,,0.0,0
70,,,0,,,,,0.0,0
71,,,0,,,,,0.0,0
72,,,0,,,,,0.0,0
73,,,0,,,,,0.0,0
74,,,0,,,,,0.0,0
75,2025-03-09,2025-03-09,1,1441.380007462586,27.0,501.0,501.0,0.001996007984031936,1
76,,,0,,,,,0.0,0
77,2025-12-11,2025-12-11,1,4720.28341577084,10.0,224.0,224.0,0.004464285714285714,1
78,,,0,,,,,0.0,0
79,2025-06-13,2025-06-13,1,4238.948254806848,4.0,405.0,405.0,0.0024691358024691358,1
80,,,0,,,,,0.0,0
81,,,0,,,,,0.0,0
82,2027-07-28,2027-07-28,1,4770.664571348454,17.0,-370.0,-370.0,0.0,0
83,,,0,,,,,0.0,0
84,,,0,,,,,0.0,0
85,,,0,,,,,0.0,0
86,,,0,,,,,0.0,0
87,,,0,,,,,0.0,0
88,2026-07-30,2026-07-30,1,3274.285002444051,6.0,-7.0,-7.0,0.0,0
89,,,0,,,,,0.0,0
90,,,0,,,,,0.0,0
91,,,0,,,,,0.0,0
92,,,0,,,,,0.0,0
93,2027-07-31,2027-07-31,1,3087.4586206391555,1.0,-373.0,-373.0,0.0,0
94,,,0,,,,,0.0,0
95,,,0,,,,,0.0,0
96,,,0,,,,,0.0,0
97,,,0,,,,,0.0,0
98,,,0,,,,,0.0,0
99,,,0,,,,,0.0,0
100,,,0,,,,,0.0,0
101,,,0,,,,,0.0,0
102,,,0,,,,,0.0,0
103,,,0,,,,,0.0,0
104,,,0,,,,,0.0,0
105,,,0,,,,,0.0,0
106,,,0,,,,,0.0,0
107,,,0,,,,,0.0,0
108,,,0,,,,,0.0,0
109,,,0,,,,,0.0,0
110,2026-09-01,2026-09-01,1,3593.4871397874376,45.0,-40.0,-40.0,0.0,0
111,,,0,,,,,0.0,0
112,,,0,,,,,0.0,0
113,,,0,,,,,0.0,0
114,,,0,,,,,0.0,0
115,,,0,,,,,0.0,0
116,,,0,,,,,0.0,0
117,,,0,,,,,0.0,0
118,,,0,,,,,0.0,0
119,,,0,,,,,0.0,0
120,,,0,,,,,0.0,0
121,2026-06-19,2026-06-19,1,3741.773689095344,23.0,34.0,34.0,0.029411764705882353,0
122,,,0,,,,,0.0,0
123,,,0,,,,,0.0,0
124,,,0,,,,,0.0,0
125,2025-08-23,2025-08-23,1,3405.462479486752,15.0,334.0,334.0,0.0029940119760479044,1
126,,,0,,,,,0.0,0
127,2027-07-09,2027-07-09,1,1654.0683470740605,12.0,-351.0,-351.0,0.0,0
128,2027-06-22,2027-06-22,1,200.05584682575747,3.0,-334.0,-334.0,0.0,0
129,,,0,,,,,0.0,0
130,,,0,,,,,0.0,0
131,,,0,,,,,0.0,0
132,,,0,,,,,0.0,0
133,2026-08-13,2026-08-13,1,3626.972636031631,40.0,-21.0,-21.0,0.0,0
134,,,0,,,,,0.0,0
135,,,0,,,,,0.0,0
136,,,0,,,,,0.0,0
137,,,0,,,,,0.0,0
138,,,0,,,,,0.0,0
139,,,0,,,,,0.0,0
140,,,0,,,,,0.0,0
141,2025-12-03,2025-12-03,1,2389.9352429866017,22.0,232.0,232.0,0.004310344827586207,1
142,,,0,,,,,0.0,0
143,,,0,,,,,0.0,0
144,2027-03-03,2027-03-03,1,4909.489912600745,44.0,-223.0,-223.0,0.0,0
145,,,0,,,,,0.0,0
146,,,0,,,,,0.0,0
147,2025-08-10,2025-08-10,1,2795.352687895569,28.0,347.0,347.0,0.002881844380403458,1
148,,,0,,,,,0.0,0
149,,,0,,,,,0.0,0
150,,,0,,,,,0.0,0
151,,,0,,,,,0.0,0
152,,,0,,,,,0.0,0
153,,,0,,,,,0.0,0
154,,,0,,,,,0.0,0
155,,,0,,,,,0.0,0
156,,,0,,,,,0.0,0
157,,,0,,,,,0.0,0
158,,,0,,,,,0.0,0
159,2027-06-15,2027-06-15,1,4404.238800881873,25.0,-327.0,-327.0,0.0,0
160,,,0,,,,,0.0,0
161,,,0,,,,,0.0,0
162,,,0,,,,,0.0,0
163,,,0,,,,,0.0,0
164,2026-01-03,2026-01-03,1,2881.4835029620417,10.0,201.0,201.0,0.004975124378109453,1
165,2026-04-17,2026-04-17,1,4827.338466394466,49.0,97.0,97.0,0.010309278350515464,0
166,,,0,,,,,0.0,0
167,,,0,,,,,0.0,0
168,,,0,,,,,0.0,0
169,,,0,,,,,0.0,0
170,2027-02-04,2027-01-09,2,2832.9036827731557,29.5,-196.0,-170.0,0.0,0
171,,,0,,,,,0.0,0
172,,,0,,,,,0.0,0
173,,,0,,,,,0.0,0
174,2025-06-04,2025-05-24,2,1195.9702200974762,13.5,414.0,425.0,0.004705882352941176,1
175,2027-09-18,2027-09-18,1,1060.4269371573923,9.0,-422.0,-422.0,0.0,0
176,,,0,,,,,0.0,0
177,,,0,,,,,0.0,0
178,2026-02-19,2026-02-19,1,2626.18456597016,22.0,154.0,154.0,0.006493506493506494,0
179,,,0,,,,,0.0,0
180,,,0,,,,,0.0,0
181,,,0,,,,,0.0,0
182,,,0,,,,,0.0,0
183,,,0,,,,,0.0,0
184,,,0,,,,,0.0,0
185,,,0,,,,,0.0,0
186,2027-06-03,2027-06-03,1,541.5597688324775,17.0,-315.0,-315.0,0.0,0
187,,,0,,,,,0.0,0
188,,,0,,,,,0.0,0
189,,,0,,,,,0.0,0
190,2026-05-18,2026-05-18,1,2952.9389669867514,31.0,66.0,66.0,0.015151515151515152,0
191,,,0,,,,,0.0,0
