order_id,user_id,weight_kg,distance_km,express_flag,quantity,price,shipping_cost,price_per_item,weight_per_item,shipping_per_km,shipping_price_ratio,heavy_package,long_distance,bulk_order,order_date,total_spend,total_orders,signup_date,Anomaly,Score,Outlier_Class
21736,412,14.78,547.0,False,1,1098.0,442.0,1098.0,14.78,0.8080438756855576,40.255009107468126,1,1,0,,,,,-1,-0.12335102177087764,Corporate Bulk Order
8484,1962,14.88,438.0,False,1,203.0,326.0,203.0,14.88,0.7442922374429224,160.59113300492612,1,1,0,,,,,-1,-0.1225918961011827,Fraud Candidate
37686,4001,20.68,209.0,True,1,490.0,303.0,490.0,20.68,1.4497607655502391,61.836734693877546,1,1,0,,,,,-1,-0.11625991851633566,Fraud Candidate
23904,3068,16.54,39.0,False,1,848.0,115.0,848.0,16.54,2.948717948717949,13.561320754716984,1,0,0,,,,,-1,-0.1129215726092796,Fraud Candidate
16563,2405,18.17,269.0,True,1,760.0,333.0,760.0,18.17,1.237918215613383,43.815789473684205,1,1,0,,,,,-1,-0.1117086331177598,Fraud Candidate
7233,2593,11.84,289.0,True,1,7094.0,354.0,7094.0,11.84,1.2249134948096885,4.990132506343389,1,1,0,,,,,-1,-0.11137915194305736,Corporate Bulk Order
17874,3420,19.81,375.0,False,1,739.0,295.0,739.0,19.81,0.7866666666666666,39.918809201623816,1,1,0,,,,,-1,-0.11127989352216672,Fraud Candidate
788,3358,25.11,164.0,True,3,981.0,346.0,327.0,8.37,2.109756097560976,35.270132517838945,1,0,0,2027-02-27,1145.2433813764562,37.0,2024-08-02,-1,-0.11117370647288194,Fraud Candidate
23590,3687,19.23,447.0,False,1,1374.0,402.0,1374.0,19.23,0.8993288590604027,29.257641921397383,1,1,0,,,,,-1,-0.10466954375938498,Corporate Bulk Order
16723,3003,16.36,145.0,True,1,11649.0,241.0,11649.0,16.36,1.6620689655172414,2.068847111340029,1,0,0,,,,,-1,-0.10372352413059305,Corporate Bulk Order
22671,2927,14.32,198.0,True,1,700.0,301.0,700.0,14.32,1.52020202020202,43.0,1,0,0,,,,,-1,-0.10218867349345795,Fraud Candidate
30260,4806,14.45,152.0,False,1,347.0,197.0,347.0,14.45,1.2960526315789471,56.77233429394812,1,0,0,,,,,-1,-0.09974759842488923,Fraud Candidate
152,4426,16.56,45.0,False,1,1575.0,122.0,1575.0,16.56,2.7111111111111112,7.746031746031747,1,0,0,2025-06-01,1034.0556470515703,6.0,2024-01-05,-1,-0.09564440392175144,Corporate Bulk Order
13317,1642,22.83,332.0,True,1,2234.0,383.0,2234.0,22.83,1.1536144578313252,17.144136078782456,1,1,0,,,,,-1,-0.09376498351182094,Corporate Bulk Order
36513,2455,11.43,14.0,False,1,1127.0,62.0,1127.0,11.43,4.428571428571429,5.501330967169476,1,0,0,,,,,-1,-0.09152970715212905,Corporate Bulk Order
20282,1924,9.54,162.0,True,1,284.0,281.0,284.0,9.54,1.7345679012345678,98.943661971831,1,0,0,,,,,-1,-0.09063336278789447,Fraud Candidate
38997,3519,13.42,559.0,False,1,2145.0,410.0,2145.0,13.42,0.7334525939177102,19.114219114219114,1,1,0,,,,,-1,-0.09017191030354665,Corporate Bulk Order
8976,4896,12.15,468.0,True,1,1657.0,469.0,1657.0,12.15,1.002136752136752,28.30416415208208,1,1,0,,,,,-1,-0.08746394078843733,Corporate Bulk Order
790,1175,12.28,27.0,False,1,3443.0,79.0,3443.0,12.28,2.925925925925926,2.2945106012198666,1,0,0,2027-03-01,4975.132611036565,8.0,2024-01-28,-1,-0.08604030131797002,Corporate Bulk Order
21651,3878,12.12,27.0,False,1,3151.0,122.0,3151.0,12.12,4.518518518518518,3.871786734370041,1,0,0,,,,,-1,-0.08439576726249387,Corporate Bulk Order
